Aldgate East                  ;Tufnell Park                  ;0
Aldgate East                  ;Turnham Green                 ;14
Aldgate East                  ;Turnpike Lane                 ;32
Aldgate East                  ;Upminster                     ;0
Aldgate East                  ;Upton Park                    ;66
Aldgate East                  ;Vauxhall                      ;53
Aldgate East                  ;Victoria                      ;563
Aldgate East                  ;Wanstead                      ;3
Aldgate East                  ;Waterloo                      ;528
Aldgate East                  ;Wembley Central               ;101
Aldgate East                  ;Wembley Park                  ;6
Aldgate East                  ;West Ham                      ;147
Aldgate East                  ;West Hampstead                ;36
Aldgate East                  ;West Kensington               ;62
Aldgate East                  ;Westbourne Park               ;16
Aldgate East                  ;Westminster                   ;161
Aldgate East                  ;White City                    ;8
Aldgate East                  ;Whitechapel                   ;764
Aldgate East                  ;Wimbledon                     ;32
Aldgate East                  ;Wood Lane                     ;9
Aldgate East                  ;Woodford                      ;6
Alperton                      ;Acton Town                    ;261
Alperton                      ;Amersham                      ;3
Alperton                      ;Arsenal                       ;8
Alperton                      ;Baker Street                  ;2
Alperton                      ;Bank / Monument               ;65
Alperton                      ;Barons Court                  ;59
Alperton                      ;Blackfriars                   ;0
Alperton                      ;Camden Town                   ;6
Alperton                      ;Cannon Street                 ;31
Alperton                      ;Chancery Lane                 ;0
Alperton                      ;Charing Cross                 ;5
Alperton                      ;Chiswick Park                 ;25
Alperton                      ;Covent Garden                 ;50
Alperton                      ;Croxley                       ;20
Alperton                      ;Ealing Broadway               ;16
Alperton                      ;Ealing Common                 ;171
Alperton                      ;Earl's Court                  ;195
Alperton                      ;East Acton                    ;6
Alperton                      ;Eastcote                      ;121
Alperton                      ;Elephant & Castle             ;19
Alperton                      ;Embankment                    ;1
Alperton                      ;Finchley Road                 ;9
Alperton                      ;Fulham Broadway               ;112
Alperton                      ;Gloucester Road               ;45
Alperton                      ;Green Park                    ;13
Alperton                      ;Hammersmith (Dis)             ;453
Alperton                      ;Harrow-on-the-Hill            ;14
Alperton                      ;Hatton Cross                  ;177
Alperton                      ;Heathrow Terminal 4           ;63
Alperton                      ;Heathrow Terminals 123        ;13
Alperton                      ;Hillingdon                    ;59
Alperton                      ;Holborn                       ;96
Alperton                      ;Holloway Road                 ;4
Alperton                      ;Hounslow Central              ;148
Alperton                      ;Hounslow East                 ;278
Alperton                      ;Hounslow West                 ;19
Alperton                      ;Hyde Park Corner              ;27
Alperton                      ;Ickenham                      ;0
Alperton                      ;Kew Gardens                   ;1
Alperton                      ;King's Cross St. Pancras      ;2
Alperton                      ;Knightsbridge                 ;99
Alperton                      ;Leicester Square              ;37
Alperton                      ;Liverpool Street              ;22
Alperton                      ;North Ealing                  ;59
Alperton                      ;Northfields                   ;72
Alperton                      ;Old Street                    ;6
Alperton                      ;Osterley                      ;37
Alperton                      ;Oxford Circus                 ;1
Alperton                      ;Park Royal                    ;139
Alperton                      ;Piccadilly Circus             ;8
Alperton                      ;Pimlico                       ;0
Alperton                      ;Pinner                        ;11
Alperton                      ;Putney Bridge                 ;2
Alperton                      ;Rayners Lane                  ;92
Alperton                      ;Regent's Park                 ;3
Alperton                      ;Richmond                      ;46
Alperton                      ;Ruislip                       ;2
Alperton                      ;Ruislip Manor                 ;47
Alperton                      ;Russell Square                ;2
Alperton                      ;Shepherd's Bush Market        ;10
Alperton                      ;South Ealing                  ;2
Alperton                      ;South Harrow                  ;288
Alperton                      ;South Kensington              ;53
Alperton                      ;Southfields                   ;39
Alperton                      ;St. James's Park              ;24
Alperton                      ;St. Paul's                    ;2
Alperton                      ;Stratford                     ;18
Alperton                      ;Sudbury Hill                  ;122
Alperton                      ;Temple                        ;7
Alperton                      ;Tooting Bec                   ;1
Alperton                      ;Tottenham Court Road          ;4
Alperton                      ;Tower Hill                    ;8
Alperton                      ;Turnham Green                 ;39
Alperton                      ;Uxbridge                      ;232
Alperton                      ;Vauxhall                      ;7
Alperton                      ;Victoria                      ;82
Alperton                      ;Warren Street                 ;15
Alperton                      ;Waterloo                      ;1
Alperton                      ;Wembley Central               ;28
Alperton                      ;Wembley Park                  ;9
Alperton                      ;West Harrow                   ;22
Alperton                      ;West Kensington               ;15
Alperton                      ;Westminster                   ;43
Alperton                      ;Wimbledon                     ;78
Alperton                      ;Wood Green                    ;3
Amersham                      ;Aldgate                       ;66
Amersham                      ;Alperton                      ;12
Amersham                      ;Angel                         ;8
Amersham                      ;Baker Street                  ;73
Amersham                      ;Bank / Monument               ;24
Amersham                      ;Barbican                      ;62
Amersham                      ;Bayswater                     ;8
Amersham                      ;Blackfriars                   ;12
Amersham                      ;Bond Street                   ;18
Amersham                      ;Borough                       ;8
Amersham                      ;Canary Wharf                  ;28
Amersham                      ;Canning Town                  ;33
Amersham                      ;Chalfont & Latimer            ;75
Amersham                      ;Chancery Lane                 ;25
Amersham                      ;Charing Cross                 ;87
Amersham                      ;Chesham                       ;6
Amersham                      ;Chiswick Park                 ;17
Amersham                      ;Chorleywood                   ;21
Amersham                      ;Covent Garden                 ;1
Amersham                      ;Earl's Court                  ;4
Amersham                      ;Edgware Road (Bak)            ;4
Amersham                      ;Elephant & Castle             ;19
Amersham                      ;Embankment                    ;27
Amersham                      ;Euston Square                 ;29
Amersham                      ;Farringdon                    ;58
Amersham                      ;Finchley Road                 ;62
Amersham                      ;Finsbury Park                 ;7
Amersham                      ;Gloucester Road               ;5
Amersham                      ;Golders Green                 ;2
Amersham                      ;Great Portland Street         ;33
Amersham                      ;Green Park                    ;36
Amersham                      ;Hammersmith (H&C)             ;38
Amersham                      ;Harrow-on-the-Hill            ;97
